Apex Time (min)	Class	Start Time	Start Height	End Time	End Height
2	A	1.943	-0.00039836023620000004	2.133	-0.0003842267822000001
11.618	A	11.53	0.006165149179999999	11.745	0.006403090969999999
16.105	A	16.032	0.009977188544000001	16.24	0.010256406079999997
17.574	A	17.517	0.011399962845999999	17.7	0.011622790599999999
21.009	A	20.94	0.01525271088	21.158	0.015539566616000002
24.793	A	24.7	0.021090380299999996	24.932	0.021509406867999993
25.955	A	25.885	0.02316332846500001	26.053	0.023492996377000006
28.598	A	28.517	0.028875688268999992	28.7	0.029263365899999998
38.876	A	38.815	0.06217250494999993	38.937	0.06480999000999987
40.529	B	40.482	0.1046080275800001	40.712	0.11108211128000023
41.239	A	41.17	0.1245018001	41.322	0.12931936866000004
