Apex Time (min)	Class	Start Time	Start Height	End Time	End Height
1.98	A	1.928	0.0002953933224	2.067	0.00027359267359999996
11.654	A	11.567	0.006587275190999997	11.775	0.006922669574999998
16.165	A	16.092	0.010514039675599999	16.298	0.010709625201399998
17.636	A	17.578	0.011778511773999998	17.763	0.012073158129000002
21.058	A	20.987	0.015694877790999998	21.207	0.016059658251000003
24.864	A	24.787	0.021558285999999996	24.985	0.02186875
26.024	A	25.957	0.023714884587000003	26.16	0.02414577056
28.632	A	28.553	0.029318062080999997	28.707	0.029636776939
33.283	B	33.215	0.040751871655000015	33.35	0.04115360695000001
38.906	A	38.847	0.06280525979000007	38.965	0.06540262505000005
40.802	B	40.722	0.11135974904000001	40.96	0.11802834719999988
41.254	A	41.188	0.12489200900000008	41.322	0.12916985850000007
