Apex Time (min)	Class	Start Time	Start Height	End Time	End Height
7.284	A	7.127	0.010410936995999997	7.518	0.011423919464
11.707	A	11.637	0.02478841412028	11.88	0.0248119852272
13.614	A	13.553	0.029383158985000005	13.807	0.030314004215000002
16.263	A	16.198	0.036719628069999996	16.465	0.037626751225000005
20.922	A	20.853	0.047690069449	21.073	0.048216338708999995
21.122	B	21.073	0.048216338708999995	21.333	0.048838293288999995
23.156	A	23.08	0.05264211176	23.25	0.053041224500000005
25.7	A	25.627	0.058657657781999994	25.875	0.05937766775
31.505	A	31.403	0.070102675267	31.685	0.070925237965
39.42	B	39.355	0.09383324573500001	39.482	0.09499854147400005
39.539	B	39.482	0.09499854147400005	39.673	0.0967510728610001
39.954	B	39.893	0.098420983338	40.007	0.09929341006200001
40.008	B	40.007	0.09929341006200001	40.215	0.10088520619000005
40.809	A	40.75	0.10406325525000001	40.858	0.10497809808600003
40.894	B	40.858	0.10497809808600003	40.933	0.10561340561100005
40.978	A	40.933	0.10561340561100005	41.063	0.10671460532100005
41.228	A	41.153	0.10747697435100004	41.267	0.10844264178900007
41.326	A	41.267	0.10844264178900007	41.518	0.11056880430600005
41.782	A	41.697	0.11168962176199998	41.855	0.11150352082999998
41.871	B	41.855	0.11150352082999998	41.917	0.11143049388199999
41.953	A	41.917	0.11143049388199999	42.108	0.111205523768
42.147	A	42.108	0.111205523768	42.28	0.11100293287999999
