Apex Time (min)	Class	Start Time	Start Height	End Time	End Height
2.825	B	2.584	0.00247970259648	2.977	0.0024589638764399998
3.152	B	2.977	0.0024589638764399998	3.293	0.0024422884679599997
3.434	B	3.293	0.0024422884679599997	3.661	0.00242286900492
3.836	B	3.661	0.00242286900492	4.18	0.0023954812295999997
4.193	B	4.18	0.002395481176302	5.675	0.0023963961221324997
6.04	B	5.675	0.0023963961221324997	6.371	0.0023968220768468998
7.558	A	7.157	0.002366514262879	8.423	0.0023702673793810003
11.928	B	11.755	0.0023112445809	12.223	0.00228954958914
14.628	A	14.313	0.00227288865568	15.213	0.00231395687968
17.8	A	17.48	0.0023316449524	18.177	0.0023810212200100003
19.558	A	19.241	0.0024907825710999993	19.811	0.0026313258180999995
20.14	A	19.811	0.0026313258180999995	20.735	0.0028591538184999992
21.417	B	21.115	0.00285839998025	21.698	0.0029118064822999997
22.337	B	21.964	0.0029203896513999997	22.61	0.0029581815235
22.913	B	22.61	0.0029581815235	23.459	0.0030078491696499997
24.708	B	24.269	0.00305157409651	25.118	0.00310251137122
26.677	B	25.878	0.00313818494836	27.119	0.00319771400578
27.599	B	27.119	0.00319771400578	27.601	0.00322083488062
27.914	B	27.601	0.00322083488062	28.361	0.00325729103182
28.887	B	28.791	0.00325886824703	29.222	0.00323688997526
