Apex Time (min)	Class	Start Time	Start Height	End Time	End Height
2.781	B	2.698	0.00129189290526	2.888	0.0012868715605599999
3.094	B	2.888	0.0012868715605599999	3.23	0.0012778331400999999
3.393	B	3.23	0.0012778331400999999	3.597	0.0012681340163899998
3.784	B	3.597	0.0012681340163899998	4.155	0.0012533871198499998
6.015	B	5.776	0.00121504054496	6.283	0.00120591503168
7.428	A	7.03	0.0011836588644000001	8.373	0.00120270727804
14.514	A	14.339	0.0010506304385900001	14.706	0.00106054560786
15.554	B	15.377	0.00104739842292	15.935	0.0010546490526
17.68	A	17.379	0.00108283710611	18.05	0.0011415483245
19.452	A	19.19	0.001237571894	19.659	0.0013134104133999994
19.896	A	19.659	0.0013134104133999994	20.305	0.0014178702929999998
21.28	B	21.001	0.0014939418392000002	21.508	0.0015682879135999997
22.209	B	21.951	0.0016144936795	22.369	0.0016562955605
22.756	B	22.369	0.0016562955605	23.294	0.0017487997229999998
24.543	B	24.067	0.00179933431644	24.941	0.00185933032612
26.452	B	25.663	0.001894729077	26.942	0.001958012718
27.71	B	27.385	0.0019579811018000004	28.259	0.0020408613681200003
31.594	B	31.109	0.0020164756072	32.059	0.0020441023672
