Apex Time (min)	Class	Start Time	Start Height	End Time	End Height
2.768	B	2.394	-0.001224428429752	2.888	-0.001221575534304
3.091	B	2.888	-0.001221575534304	3.205	-0.00121974483014
3.382	B	3.205	-0.00121974483014	3.597	-0.001217480994076
3.779	B	3.597	-0.001217480994076	4.345	-0.00121316122526
5.394	B	5.092	-0.0012638570621999999	5.662	-0.0012738835617
6.026	B	5.662	-0.0012738835617	6.245	-0.00128413873575
6.355	B	6.245	-0.00128413873575	6.65	-0.0012912628275
6.784	B	6.65	-0.0012912628275	7.055	-0.00129838691925
7.455	A	7.055	-0.00129838691925	7.727	-0.00131020763445
7.964	B	7.727	-0.00131020763445	8.436	-0.0013226791926
8.686	B	8.436	-0.0013226791926	9.171	-0.00133560809985
9.461	B	9.171	-0.00133560809985	9.791	-0.00134651411685
10.093	B	9.791	-0.00134651411685	10.703	-0.00136255651605
11.078	B	10.767	-0.0013604119195700002	11.299	-0.0013536691972900001
11.806	B	11.299	-0.0013536691972900001	12.135	-0.0013430734908500002
12.457	B	12.135	-0.0013430734908500002	12.679	-0.00133617867709
12.771	B	12.679	-0.00133617867709	12.895	-0.00133344103045
13.374	B	12.895	-0.00133344103045	13.845	-0.0013214004549500001
14.021	B	13.845	-0.0013214004549500001	14.237	-0.00131643213327
14.536	A	14.25	-0.0013158922	15.086	-0.0012680014384
15.604	B	15.086	-0.0012680014384	15.669	-0.0012346039336000002
15.766	B	15.669	-0.0012346039336000002	16.061	-0.0012121479784000001
16.155	B	16.061	-0.0012121479784000001	16.289	-0.0011990868616
16.525	B	16.289	-0.0011990868616	16.771	-0.0011714752024
16.901	B	16.771	-0.0011714752024	17.075	-0.0011540603800000002
17.169	B	17.075	-0.0011540603800000002	17.277	-0.0011424886888
17.444	B	17.277	-0.0011424886888	17.518	-0.0011286828592
17.728	A	17.518	-0.0011286828592	18.075	-0.0010967747800000001
18.283	B	18.075	-0.0010967861247499998	18.62	-0.0010470369605999996
18.803	B	18.62	-0.0010470369605999996	19.013	-0.0010111627926899997
19.228	B	19.013	-0.0010111608166899998	19.241	-0.00098917366633
19.512	A	19.241	-0.00098917366633	19.773	-0.00093787031549
20.072	A	19.773	-0.00093787031549	20.672	-0.0008511753673599996
20.797	B	20.672	-0.0008511753673599996	21.077	-0.0008121192450099997
21.372	B	21.077	-0.0008121192450099997	21.939	-0.0007289923870700001
22.322	B	21.939	-0.0007289844096	22.597	-0.0006500286207999995
22.891	B	22.597	-0.0006500286207999995	23.497	-0.0005420343807999999
24.162	B	23.801	-0.0005841744200899999	24.257	-0.0005695268291299998
24.718	B	24.257	-0.0005695268291299998	25.295	-0.0005361842865499998
26.68	B	25.777	-0.00052892647079	27.208	-0.0005063785901600001
27.654	B	27.208	-0.0005063785901600001	27.702	-0.0004985947655400001
27.93	B	27.702	-0.0004985947655400001	28.411	-0.00048742324397000003
28.883	B	28.411	-0.00048742324397000003	29.539	-0.00046964965253
30.185	B	30.083	-0.0005262606933000001	31.059	-0.0004937551108999999
31.878	B	31.059	-0.0004937551108999999	32.693	-0.0004393349043000001
