Apex Time (min)	Class	Start Time	Start Height	End Time	End Height
2.878	B	2.837	0.00350356516891	3.027	0.00349797488061
3.164	B	3.027	0.00349797488061	3.205	0.00349273766315
3.281	B	3.205	0.00349273766315	3.483	0.00348455818869
8.427	B	8.398	0.003486923079836	8.563	0.003487877519366
9.469	B	9.285	0.00349205391537	9.741	0.003494691639162
13.097	B	13.034	0.0035067982497399997	13.224	0.00350993783064
13.401	B	13.389	0.00351266430879	13.604	0.00351621699244
14.617	A	14.339	0.00352836221329	14.706	0.00353442656166
19.178	B	19.038	0.00365860551062	19.203	0.00366746427647
19.418	B	19.203	0.00366746427647	19.418	0.00367900751682
19.59	A	19.418	0.00367900751682	19.697	0.0036939868845300003
19.746	B	19.697	0.0036939868845300003	19.773	0.00369806728577
19.832	A	19.773	0.00369806728577	19.937	0.0037068723621300004
20.177	B	19.937	0.0037068723621300004	20.355	0.00372931456895
20.368	B	20.355	0.00372931456895	20.419	0.00373275069631
20.447	B	20.419	0.00373275069631	20.545	0.0037395155720500004
20.643	B	20.545	0.0037395155720500004	20.786	0.00375245473914
20.911	B	20.786	0.00375245473914	20.938	0.00376061554162
21.014	B	20.938	0.00376061554162	21.166	0.0037728567453400004
21.179	B	21.166	0.0037728567453400004	21.318	0.0037810175478200005
21.331	B	21.318	0.0037810175478200005	21.47	0.0037891783503
21.622	B	21.47	0.0037891783503	21.698	0.0038014195540200003
21.812	B	21.698	0.0038014195540200003	21.888	0.0038116205571200002
22.041	B	21.888	0.0038116205571200002	22.065	0.00382112359685
22.078	B	22.065	0.00382112359685	22.129	0.00382455972421
22.217	B	22.129	0.00382455972421	22.319	0.00383476072731
22.403	B	22.319	0.00383476072731	22.509	0.00384496173041
22.521	B	22.509	0.00384496173041	22.61	0.0038503843689
22.656	B	22.61	0.0038503843689	22.737	0.00385720293413
22.809	B	22.737	0.00385720293413	22.876	0.0038646657732400004
22.889	B	22.876	0.0038646657732400004	23.053	0.0038741688129700002
23.066	B	23.053	0.0038741688129700002	23.155	0.00387964514095
23.231	B	23.155	0.00387964514095	23.357	0.0038904904179300004
23.37	B	23.357	0.0038904904179300004	23.522	0.00389934918378
23.555	B	23.522	0.00389934918378	23.661	0.00390681202289
23.674	B	23.661	0.00390681202289	23.775	0.00391293262475
23.809	B	23.775	0.00391293262475	23.94	0.0039217913906
23.973	B	23.94	0.0039217913906	24.079	0.00392925422971
24.232	B	24.079	0.00392925422971	24.333	0.00394289136017
24.345	B	24.333	0.00394289136017	24.523	0.00395309236327
24.669	B	24.523	0.00395309236327	24.7	0.003962595403
24.729	B	24.7	0.003962595403	24.915	0.00397413864335
24.928	B	24.915	0.00397413864335	25.055	0.00398165517195
25.067	B	25.055	0.00398165517195	25.245	0.003991856175050001
25.276	B	25.245	0.003991856175050001	25.599	0.00401086225451
